Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,16:22:48",1,120,10,50,Biceps Brachii
"04-14-2022,16:22:48",2,0,0,0,Aucun
"04-14-2022,16:22:48",3,0,0,0,Aucun
"04-14-2022,16:22:48",4,0,0,0,Aucun
"04-14-2022,16:22:48",5,0,0,0,Aucun
"04-14-2022,16:22:48",6,0,0,0,Aucun
"04-14-2022,16:22:48",7,0,0,0,Aucun
"04-14-2022,16:22:48",8,0,0,0,Aucun
"04-14-2022,16:22:57",1,120,20,50,Biceps Brachii
"04-14-2022,16:22:57",2,0,0,0,Aucun
"04-14-2022,16:22:57",3,0,0,0,Aucun
"04-14-2022,16:22:57",4,0,0,0,Aucun
"04-14-2022,16:22:57",5,0,0,0,Aucun
"04-14-2022,16:22:57",6,0,0,0,Aucun
"04-14-2022,16:22:57",7,0,0,0,Aucun
"04-14-2022,16:22:57",8,0,0,0,Aucun
"04-14-2022,16:23:03",1,120,30,50,Biceps Brachii
"04-14-2022,16:23:03",2,0,0,0,Aucun
"04-14-2022,16:23:03",3,0,0,0,Aucun
"04-14-2022,16:23:03",4,0,0,0,Aucun
"04-14-2022,16:23:03",5,0,0,0,Aucun
"04-14-2022,16:23:03",6,0,0,0,Aucun
"04-14-2022,16:23:03",7,0,0,0,Aucun
"04-14-2022,16:23:03",8,0,0,0,Aucun
"04-14-2022,16:23:05",1,0,0,0,0
"04-14-2022,16:23:05",2,0,0,0,0
"04-14-2022,16:23:05",3,0,0,0,0
"04-14-2022,16:23:05",4,0,0,0,0
"04-14-2022,16:23:05",5,0,0,0,0
"04-14-2022,16:23:05",6,0,0,0,0
"04-14-2022,16:23:05",7,0,0,0,0
"04-14-2022,16:23:05",8,0,0,0,0
