Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,15:08:19",1,114,10,50,Biceps Brachii
"04-14-2022,15:08:19",2,0,0,0,Aucun
"04-14-2022,15:08:19",3,0,0,0,Aucun
"04-14-2022,15:08:19",4,0,0,0,Aucun
"04-14-2022,15:08:19",5,0,0,0,Aucun
"04-14-2022,15:08:19",6,0,0,0,Aucun
"04-14-2022,15:08:19",7,0,0,0,Aucun
"04-14-2022,15:08:19",8,0,0,0,Aucun
"04-14-2022,15:08:25",1,116,10,50,Biceps Brachii
"04-14-2022,15:08:25",2,0,0,0,Aucun
"04-14-2022,15:08:25",3,0,0,0,Aucun
"04-14-2022,15:08:25",4,0,0,0,Aucun
"04-14-2022,15:08:25",5,0,0,0,Aucun
"04-14-2022,15:08:25",6,0,0,0,Aucun
"04-14-2022,15:08:25",7,0,0,0,Aucun
"04-14-2022,15:08:25",8,0,0,0,Aucun
