Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,16:44:46",1,120,10,30,Biceps Brachii
"04-14-2022,16:44:46",2,0,0,0,Aucun
"04-14-2022,16:44:46",3,0,0,0,Aucun
"04-14-2022,16:44:46",4,0,0,0,Aucun
"04-14-2022,16:44:46",5,0,0,0,Aucun
"04-14-2022,16:44:46",6,0,0,0,Aucun
"04-14-2022,16:44:46",7,0,0,0,Aucun
"04-14-2022,16:44:46",8,0,0,0,Aucun
"04-14-2022,16:44:50",1,120,20,30,Biceps Brachii
"04-14-2022,16:44:50",2,0,0,0,Aucun
"04-14-2022,16:44:50",3,0,0,0,Aucun
"04-14-2022,16:44:50",4,0,0,0,Aucun
"04-14-2022,16:44:50",5,0,0,0,Aucun
"04-14-2022,16:44:50",6,0,0,0,Aucun
"04-14-2022,16:44:50",7,0,0,0,Aucun
"04-14-2022,16:44:50",8,0,0,0,Aucun
"04-14-2022,16:44:51",1,120,30,30,Biceps Brachii
"04-14-2022,16:44:51",2,0,0,0,Aucun
"04-14-2022,16:44:51",3,0,0,0,Aucun
"04-14-2022,16:44:51",4,0,0,0,Aucun
"04-14-2022,16:44:51",5,0,0,0,Aucun
"04-14-2022,16:44:51",6,0,0,0,Aucun
"04-14-2022,16:44:51",7,0,0,0,Aucun
"04-14-2022,16:44:51",8,0,0,0,Aucun
"04-14-2022,16:44:53",1,120,40,30,Biceps Brachii
"04-14-2022,16:44:53",2,0,0,0,Aucun
"04-14-2022,16:44:53",3,0,0,0,Aucun
"04-14-2022,16:44:53",4,0,0,0,Aucun
"04-14-2022,16:44:53",5,0,0,0,Aucun
"04-14-2022,16:44:53",6,0,0,0,Aucun
"04-14-2022,16:44:53",7,0,0,0,Aucun
"04-14-2022,16:44:53",8,0,0,0,Aucun
"04-14-2022,16:44:54",1,0,0,0,0
"04-14-2022,16:44:54",2,0,0,0,0
"04-14-2022,16:44:54",3,0,0,0,0
"04-14-2022,16:44:54",4,0,0,0,0
"04-14-2022,16:44:54",5,0,0,0,0
"04-14-2022,16:44:54",6,0,0,0,0
"04-14-2022,16:44:54",7,0,0,0,0
"04-14-2022,16:44:54",8,0,0,0,0
