Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,15:23:21",1,120,10,40,Biceps Brachii
"04-14-2022,15:23:21",2,0,0,0,Aucun
"04-14-2022,15:23:21",3,0,0,0,Aucun
"04-14-2022,15:23:21",4,0,0,0,Aucun
"04-14-2022,15:23:21",5,0,0,0,Aucun
"04-14-2022,15:23:21",6,0,0,0,Aucun
"04-14-2022,15:23:21",7,0,0,0,Aucun
"04-14-2022,15:23:21",8,0,0,0,Aucun
"04-14-2022,15:23:27",1,0,0,0,0
"04-14-2022,15:23:27",2,0,0,0,0
"04-14-2022,15:23:27",3,0,0,0,0
"04-14-2022,15:23:27",4,0,0,0,0
"04-14-2022,15:23:27",5,0,0,0,0
"04-14-2022,15:23:27",6,0,0,0,0
"04-14-2022,15:23:27",7,0,0,0,0
"04-14-2022,15:23:27",8,0,0,0,0
