Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,15:29:12",1,120,10,80,Biceps Brachii
"04-14-2022,15:29:12",2,0,0,0,Aucun
"04-14-2022,15:29:12",3,0,0,0,Aucun
"04-14-2022,15:29:12",4,0,0,0,Aucun
"04-14-2022,15:29:12",5,0,0,0,Aucun
"04-14-2022,15:29:12",6,0,0,0,Aucun
"04-14-2022,15:29:12",7,0,0,0,Aucun
"04-14-2022,15:29:12",8,0,0,0,Aucun
"04-14-2022,15:29:17",1,0,0,0,0
"04-14-2022,15:29:17",2,0,0,0,0
"04-14-2022,15:29:17",3,0,0,0,0
"04-14-2022,15:29:17",4,0,0,0,0
"04-14-2022,15:29:17",5,0,0,0,0
"04-14-2022,15:29:17",6,0,0,0,0
"04-14-2022,15:29:17",7,0,0,0,0
"04-14-2022,15:29:17",8,0,0,0,0
