Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,15:52:13",1,120,10,30,Biceps Brachii
"04-14-2022,15:52:13",2,0,0,0,Aucun
"04-14-2022,15:52:13",3,0,0,0,Aucun
"04-14-2022,15:52:13",4,0,0,0,Aucun
"04-14-2022,15:52:13",5,0,0,0,Aucun
"04-14-2022,15:52:13",6,0,0,0,Aucun
"04-14-2022,15:52:13",7,0,0,0,Aucun
"04-14-2022,15:52:13",8,0,0,0,Aucun
"04-14-2022,15:53:32",1,0,0,0,0
"04-14-2022,15:53:32",2,0,0,0,0
"04-14-2022,15:53:32",3,0,0,0,0
"04-14-2022,15:53:32",4,0,0,0,0
"04-14-2022,15:53:32",5,0,0,0,0
"04-14-2022,15:53:32",6,0,0,0,0
"04-14-2022,15:53:32",7,0,0,0,0
"04-14-2022,15:53:32",8,0,0,0,0
