Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,15:28:10",1,120,10,60,Biceps Brachii
"04-14-2022,15:28:10",2,0,0,0,Aucun
"04-14-2022,15:28:10",3,0,0,0,Aucun
"04-14-2022,15:28:10",4,0,0,0,Aucun
"04-14-2022,15:28:10",5,0,0,0,Aucun
"04-14-2022,15:28:10",6,0,0,0,Aucun
"04-14-2022,15:28:10",7,0,0,0,Aucun
"04-14-2022,15:28:10",8,0,0,0,Aucun
"04-14-2022,15:28:19",1,120,20,60,Biceps Brachii
"04-14-2022,15:28:19",2,0,0,0,Aucun
"04-14-2022,15:28:19",3,0,0,0,Aucun
"04-14-2022,15:28:19",4,0,0,0,Aucun
"04-14-2022,15:28:19",5,0,0,0,Aucun
"04-14-2022,15:28:19",6,0,0,0,Aucun
"04-14-2022,15:28:19",7,0,0,0,Aucun
"04-14-2022,15:28:19",8,0,0,0,Aucun
"04-14-2022,15:28:25",1,0,0,0,0
"04-14-2022,15:28:25",2,0,0,0,0
"04-14-2022,15:28:25",3,0,0,0,0
"04-14-2022,15:28:25",4,0,0,0,0
"04-14-2022,15:28:25",5,0,0,0,0
"04-14-2022,15:28:25",6,0,0,0,0
"04-14-2022,15:28:25",7,0,0,0,0
"04-14-2022,15:28:25",8,0,0,0,0
