Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,15:24:57",1,110,10,40,Biceps Brachii
"04-14-2022,15:24:57",2,0,0,0,Aucun
"04-14-2022,15:24:57",3,0,0,0,Aucun
"04-14-2022,15:24:57",4,0,0,0,Aucun
"04-14-2022,15:24:57",5,0,0,0,Aucun
"04-14-2022,15:24:57",6,0,0,0,Aucun
"04-14-2022,15:24:57",7,0,0,0,Aucun
"04-14-2022,15:24:57",8,0,0,0,Aucun
"04-14-2022,15:25:01",1,0,0,0,0
"04-14-2022,15:25:01",2,0,0,0,0
"04-14-2022,15:25:01",3,0,0,0,0
"04-14-2022,15:25:01",4,0,0,0,0
"04-14-2022,15:25:01",5,0,0,0,0
"04-14-2022,15:25:01",6,0,0,0,0
"04-14-2022,15:25:01",7,0,0,0,0
"04-14-2022,15:25:01",8,0,0,0,0
