Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,15:43:35",1,120,10,30,Biceps Brachii
"04-14-2022,15:43:35",2,0,0,0,Aucun
"04-14-2022,15:43:35",3,0,0,0,Aucun
"04-14-2022,15:43:35",4,0,0,0,Aucun
"04-14-2022,15:43:35",5,0,0,0,Aucun
"04-14-2022,15:43:35",6,0,0,0,Aucun
"04-14-2022,15:43:35",7,0,0,0,Aucun
"04-14-2022,15:43:35",8,0,0,0,Aucun
"04-14-2022,15:44:09",1,0,0,0,0
"04-14-2022,15:44:09",2,0,0,0,0
"04-14-2022,15:44:09",3,0,0,0,0
"04-14-2022,15:44:09",4,0,0,0,0
"04-14-2022,15:44:09",5,0,0,0,0
"04-14-2022,15:44:09",6,0,0,0,0
"04-14-2022,15:44:09",7,0,0,0,0
"04-14-2022,15:44:09",8,0,0,0,0
