Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,15:33:14",1,120,10,50,Biceps Brachii
"04-14-2022,15:33:14",2,0,0,0,Aucun
"04-14-2022,15:33:14",3,0,0,0,Aucun
"04-14-2022,15:33:14",4,0,0,0,Aucun
"04-14-2022,15:33:14",5,0,0,0,Aucun
"04-14-2022,15:33:14",6,0,0,0,Aucun
"04-14-2022,15:33:14",7,0,0,0,Aucun
"04-14-2022,15:33:14",8,0,0,0,Aucun
"04-14-2022,15:33:22",1,120,20,50,Biceps Brachii
"04-14-2022,15:33:22",2,0,0,0,Aucun
"04-14-2022,15:33:22",3,0,0,0,Aucun
"04-14-2022,15:33:22",4,0,0,0,Aucun
"04-14-2022,15:33:22",5,0,0,0,Aucun
"04-14-2022,15:33:22",6,0,0,0,Aucun
"04-14-2022,15:33:22",7,0,0,0,Aucun
"04-14-2022,15:33:22",8,0,0,0,Aucun
"04-14-2022,15:33:27",1,0,0,0,0
"04-14-2022,15:33:27",2,0,0,0,0
"04-14-2022,15:33:27",3,0,0,0,0
"04-14-2022,15:33:27",4,0,0,0,0
"04-14-2022,15:33:27",5,0,0,0,0
"04-14-2022,15:33:27",6,0,0,0,0
"04-14-2022,15:33:27",7,0,0,0,0
"04-14-2022,15:33:27",8,0,0,0,0
