Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,15:10:29",1,120,10,50,Biceps Brachii
"04-14-2022,15:10:29",2,0,0,0,Aucun
"04-14-2022,15:10:29",3,0,0,0,Aucun
"04-14-2022,15:10:29",4,0,0,0,Aucun
"04-14-2022,15:10:29",5,0,0,0,Aucun
"04-14-2022,15:10:29",6,0,0,0,Aucun
"04-14-2022,15:10:29",7,0,0,0,Aucun
"04-14-2022,15:10:29",8,0,0,0,Aucun
"04-14-2022,15:10:37",1,122,10,50,Biceps Brachii
"04-14-2022,15:10:37",2,0,0,0,Aucun
"04-14-2022,15:10:37",3,0,0,0,Aucun
"04-14-2022,15:10:37",4,0,0,0,Aucun
"04-14-2022,15:10:37",5,0,0,0,Aucun
"04-14-2022,15:10:37",6,0,0,0,Aucun
"04-14-2022,15:10:37",7,0,0,0,Aucun
"04-14-2022,15:10:37",8,0,0,0,Aucun
"04-14-2022,15:10:46",1,0,0,0,0
"04-14-2022,15:10:46",2,0,0,0,0
"04-14-2022,15:10:46",3,0,0,0,0
"04-14-2022,15:10:46",4,0,0,0,0
"04-14-2022,15:10:46",5,0,0,0,0
"04-14-2022,15:10:46",6,0,0,0,0
"04-14-2022,15:10:46",7,0,0,0,0
"04-14-2022,15:10:46",8,0,0,0,0
