Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,16:30:11",1,120,10,30,Biceps Brachii
"04-14-2022,16:30:11",2,0,0,0,Aucun
"04-14-2022,16:30:11",3,0,0,0,Aucun
"04-14-2022,16:30:11",4,0,0,0,Aucun
"04-14-2022,16:30:11",5,0,0,0,Aucun
"04-14-2022,16:30:11",6,0,0,0,Aucun
"04-14-2022,16:30:11",7,0,0,0,Aucun
"04-14-2022,16:30:11",8,0,0,0,Aucun
"04-14-2022,16:30:19",1,120,20,30,Biceps Brachii
"04-14-2022,16:30:19",2,0,0,0,Aucun
"04-14-2022,16:30:19",3,0,0,0,Aucun
"04-14-2022,16:30:19",4,0,0,0,Aucun
"04-14-2022,16:30:19",5,0,0,0,Aucun
"04-14-2022,16:30:19",6,0,0,0,Aucun
"04-14-2022,16:30:19",7,0,0,0,Aucun
"04-14-2022,16:30:19",8,0,0,0,Aucun
"04-14-2022,16:30:21",1,0,0,0,0
"04-14-2022,16:30:21",2,0,0,0,0
"04-14-2022,16:30:21",3,0,0,0,0
"04-14-2022,16:30:21",4,0,0,0,0
"04-14-2022,16:30:21",5,0,0,0,0
"04-14-2022,16:30:21",6,0,0,0,0
"04-14-2022,16:30:21",7,0,0,0,0
"04-14-2022,16:30:21",8,0,0,0,0
