Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,15:34:59",1,120,10,50,Biceps Brachii
"04-14-2022,15:34:59",2,0,0,0,Aucun
"04-14-2022,15:34:59",3,0,0,0,Aucun
"04-14-2022,15:34:59",4,0,0,0,Aucun
"04-14-2022,15:34:59",5,0,0,0,Aucun
"04-14-2022,15:34:59",6,0,0,0,Aucun
"04-14-2022,15:34:59",7,0,0,0,Aucun
"04-14-2022,15:34:59",8,0,0,0,Aucun
"04-14-2022,15:35:28",1,120,20,50,Biceps Brachii
"04-14-2022,15:35:28",2,0,0,0,Aucun
"04-14-2022,15:35:28",3,0,0,0,Aucun
"04-14-2022,15:35:28",4,0,0,0,Aucun
"04-14-2022,15:35:28",5,0,0,0,Aucun
"04-14-2022,15:35:28",6,0,0,0,Aucun
"04-14-2022,15:35:28",7,0,0,0,Aucun
"04-14-2022,15:35:28",8,0,0,0,Aucun
"04-14-2022,15:35:39",1,0,0,0,0
"04-14-2022,15:35:39",2,0,0,0,0
"04-14-2022,15:35:39",3,0,0,0,0
"04-14-2022,15:35:39",4,0,0,0,0
"04-14-2022,15:35:39",5,0,0,0,0
"04-14-2022,15:35:39",6,0,0,0,0
"04-14-2022,15:35:39",7,0,0,0,0
"04-14-2022,15:35:39",8,0,0,0,0
