Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,15:26:19",1,110,10,50,Biceps Brachii
"04-14-2022,15:26:19",2,0,0,0,Aucun
"04-14-2022,15:26:19",3,0,0,0,Aucun
"04-14-2022,15:26:19",4,0,0,0,Aucun
"04-14-2022,15:26:19",5,0,0,0,Aucun
"04-14-2022,15:26:19",6,0,0,0,Aucun
"04-14-2022,15:26:19",7,0,0,0,Aucun
"04-14-2022,15:26:19",8,0,0,0,Aucun
"04-14-2022,15:26:27",1,110,20,50,Biceps Brachii
"04-14-2022,15:26:27",2,0,0,0,Aucun
"04-14-2022,15:26:27",3,0,0,0,Aucun
"04-14-2022,15:26:27",4,0,0,0,Aucun
"04-14-2022,15:26:27",5,0,0,0,Aucun
"04-14-2022,15:26:27",6,0,0,0,Aucun
"04-14-2022,15:26:27",7,0,0,0,Aucun
"04-14-2022,15:26:27",8,0,0,0,Aucun
"04-14-2022,15:26:29",1,0,0,0,0
"04-14-2022,15:26:29",2,0,0,0,0
"04-14-2022,15:26:29",3,0,0,0,0
"04-14-2022,15:26:29",4,0,0,0,0
"04-14-2022,15:26:29",5,0,0,0,0
"04-14-2022,15:26:29",6,0,0,0,0
"04-14-2022,15:26:29",7,0,0,0,0
"04-14-2022,15:26:29",8,0,0,0,0
