Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,15:47:21",1,120,10,50,Biceps Brachii
"04-14-2022,15:47:21",2,0,0,0,Aucun
"04-14-2022,15:47:21",3,0,0,0,Aucun
"04-14-2022,15:47:21",4,0,0,0,Aucun
"04-14-2022,15:47:21",5,0,0,0,Aucun
"04-14-2022,15:47:21",6,0,0,0,Aucun
"04-14-2022,15:47:21",7,0,0,0,Aucun
"04-14-2022,15:47:21",8,0,0,0,Aucun
"04-14-2022,15:47:48",1,0,0,0,0
"04-14-2022,15:47:48",2,0,0,0,0
"04-14-2022,15:47:48",3,0,0,0,0
"04-14-2022,15:47:48",4,0,0,0,0
"04-14-2022,15:47:48",5,0,0,0,0
"04-14-2022,15:47:48",6,0,0,0,0
"04-14-2022,15:47:48",7,0,0,0,0
"04-14-2022,15:47:48",8,0,0,0,0
