Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,16:35:46",1,120,10,40,Biceps Brachii
"04-14-2022,16:35:46",2,0,0,0,Aucun
"04-14-2022,16:35:46",3,0,0,0,Aucun
"04-14-2022,16:35:46",4,0,0,0,Aucun
"04-14-2022,16:35:46",5,0,0,0,Aucun
"04-14-2022,16:35:46",6,0,0,0,Aucun
"04-14-2022,16:35:46",7,0,0,0,Aucun
"04-14-2022,16:35:46",8,0,0,0,Aucun
"04-14-2022,16:35:54",1,120,20,40,Biceps Brachii
"04-14-2022,16:35:54",2,0,0,0,Aucun
"04-14-2022,16:35:54",3,0,0,0,Aucun
"04-14-2022,16:35:54",4,0,0,0,Aucun
"04-14-2022,16:35:54",5,0,0,0,Aucun
"04-14-2022,16:35:54",6,0,0,0,Aucun
"04-14-2022,16:35:54",7,0,0,0,Aucun
"04-14-2022,16:35:54",8,0,0,0,Aucun
"04-14-2022,16:35:59",1,0,0,0,0
"04-14-2022,16:35:59",2,0,0,0,0
"04-14-2022,16:35:59",3,0,0,0,0
"04-14-2022,16:35:59",4,0,0,0,0
"04-14-2022,16:35:59",5,0,0,0,0
"04-14-2022,16:35:59",6,0,0,0,0
"04-14-2022,16:35:59",7,0,0,0,0
"04-14-2022,16:35:59",8,0,0,0,0
