Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,16:08:44",1,120,10,20,Biceps Brachii
"04-14-2022,16:08:44",2,0,0,0,Aucun
"04-14-2022,16:08:44",3,0,0,0,Aucun
"04-14-2022,16:08:44",4,0,0,0,Aucun
"04-14-2022,16:08:44",5,0,0,0,Aucun
"04-14-2022,16:08:44",6,0,0,0,Aucun
"04-14-2022,16:08:44",7,0,0,0,Aucun
"04-14-2022,16:08:44",8,0,0,0,Aucun
"04-14-2022,16:08:52",1,120,20,20,Biceps Brachii
"04-14-2022,16:08:52",2,0,0,0,Aucun
"04-14-2022,16:08:52",3,0,0,0,Aucun
"04-14-2022,16:08:52",4,0,0,0,Aucun
"04-14-2022,16:08:52",5,0,0,0,Aucun
"04-14-2022,16:08:52",6,0,0,0,Aucun
"04-14-2022,16:08:52",7,0,0,0,Aucun
"04-14-2022,16:08:52",8,0,0,0,Aucun
"04-14-2022,16:08:56",1,0,0,0,0
"04-14-2022,16:08:56",2,0,0,0,0
"04-14-2022,16:08:56",3,0,0,0,0
"04-14-2022,16:08:56",4,0,0,0,0
"04-14-2022,16:08:56",5,0,0,0,0
"04-14-2022,16:08:56",6,0,0,0,0
"04-14-2022,16:08:56",7,0,0,0,0
"04-14-2022,16:08:56",8,0,0,0,0
