Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,16:14:43",1,124,10,20,Biceps Brachii
"04-14-2022,16:14:43",2,0,0,0,Aucun
"04-14-2022,16:14:43",3,0,0,0,Aucun
"04-14-2022,16:14:43",4,0,0,0,Aucun
"04-14-2022,16:14:43",5,0,0,0,Aucun
"04-14-2022,16:14:43",6,0,0,0,Aucun
"04-14-2022,16:14:43",7,0,0,0,Aucun
"04-14-2022,16:14:43",8,0,0,0,Aucun
"04-14-2022,16:14:48",1,124,20,20,Biceps Brachii
"04-14-2022,16:14:48",2,0,0,0,Aucun
"04-14-2022,16:14:48",3,0,0,0,Aucun
"04-14-2022,16:14:48",4,0,0,0,Aucun
"04-14-2022,16:14:48",5,0,0,0,Aucun
"04-14-2022,16:14:48",6,0,0,0,Aucun
"04-14-2022,16:14:48",7,0,0,0,Aucun
"04-14-2022,16:14:48",8,0,0,0,Aucun
"04-14-2022,16:14:56",1,0,0,0,0
"04-14-2022,16:14:56",2,0,0,0,0
"04-14-2022,16:14:56",3,0,0,0,0
"04-14-2022,16:14:56",4,0,0,0,0
"04-14-2022,16:14:56",5,0,0,0,0
"04-14-2022,16:14:56",6,0,0,0,0
"04-14-2022,16:14:56",7,0,0,0,0
"04-14-2022,16:14:56",8,0,0,0,0
