Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,15:20:58",1,126,10,50,Biceps Brachii
"04-14-2022,15:20:58",2,0,0,0,Aucun
"04-14-2022,15:20:58",3,0,0,0,Aucun
"04-14-2022,15:20:58",4,0,0,0,Aucun
"04-14-2022,15:20:58",5,0,0,0,Aucun
"04-14-2022,15:20:58",6,0,0,0,Aucun
"04-14-2022,15:20:58",7,0,0,0,Aucun
"04-14-2022,15:20:58",8,0,0,0,Aucun
"04-14-2022,15:21:06",1,126,20,50,Biceps Brachii
"04-14-2022,15:21:06",2,0,0,0,Aucun
"04-14-2022,15:21:06",3,0,0,0,Aucun
"04-14-2022,15:21:06",4,0,0,0,Aucun
"04-14-2022,15:21:06",5,0,0,0,Aucun
"04-14-2022,15:21:06",6,0,0,0,Aucun
"04-14-2022,15:21:06",7,0,0,0,Aucun
"04-14-2022,15:21:06",8,0,0,0,Aucun
"04-14-2022,15:21:08",1,0,0,0,0
"04-14-2022,15:21:08",2,0,0,0,0
"04-14-2022,15:21:08",3,0,0,0,0
"04-14-2022,15:21:08",4,0,0,0,0
"04-14-2022,15:21:08",5,0,0,0,0
"04-14-2022,15:21:08",6,0,0,0,0
"04-14-2022,15:21:08",7,0,0,0,0
"04-14-2022,15:21:08",8,0,0,0,0
