Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,15:30:26",1,120,10,40,Biceps Brachii
"04-14-2022,15:30:26",2,0,0,0,Aucun
"04-14-2022,15:30:26",3,0,0,0,Aucun
"04-14-2022,15:30:26",4,0,0,0,Aucun
"04-14-2022,15:30:26",5,0,0,0,Aucun
"04-14-2022,15:30:26",6,0,0,0,Aucun
"04-14-2022,15:30:26",7,0,0,0,Aucun
"04-14-2022,15:30:26",8,0,0,0,Aucun
"04-14-2022,15:30:34",1,120,20,40,Biceps Brachii
"04-14-2022,15:30:34",2,0,0,0,Aucun
"04-14-2022,15:30:34",3,0,0,0,Aucun
"04-14-2022,15:30:34",4,0,0,0,Aucun
"04-14-2022,15:30:34",5,0,0,0,Aucun
"04-14-2022,15:30:34",6,0,0,0,Aucun
"04-14-2022,15:30:34",7,0,0,0,Aucun
"04-14-2022,15:30:34",8,0,0,0,Aucun
"04-14-2022,15:30:42",1,0,0,0,0
"04-14-2022,15:30:42",2,0,0,0,0
"04-14-2022,15:30:42",3,0,0,0,0
"04-14-2022,15:30:42",4,0,0,0,0
"04-14-2022,15:30:42",5,0,0,0,0
"04-14-2022,15:30:42",6,0,0,0,0
"04-14-2022,15:30:42",7,0,0,0,0
"04-14-2022,15:30:42",8,0,0,0,0
